mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.24267401695251464,0.004956377703685254,0.0007243633270263671,6.375089896848142e-05,log_loss,5,2,2,"{'criterion': 'log_loss', 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.45,0.525,0.55,0.525,0.55,0.5200000000000001,0.036742346141747685,92
0.28105955123901366,0.06467853797078658,0.0008508682250976563,0.00012126301758249183,log_loss,5,2,5,"{'criterion': 'log_loss', 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.45,0.525,0.55,0.525,0.55,0.5200000000000001,0.036742346141747685,92
0.27968792915344237,0.04727337347404741,0.0008084297180175782,8.745892849312324e-05,log_loss,5,2,10,"{'criterion': 'log_loss', 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.475,0.625,0.55,0.525,0.525,0.54,0.04898979485566357,84
0.22918829917907715,0.004076273115024529,0.0007542133331298828,3.1386463503847154e-05,log_loss,5,4,2,"{'criterion': 'log_loss', 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.475,0.525,0.55,0.525,0.55,0.525,0.02738612787525833,88
0.248909854888916,0.025016941353074418,0.0011995792388916015,0.0008719551188407916,log_loss,5,4,5,"{'criterion': 'log_loss', 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.475,0.525,0.55,0.525,0.55,0.525,0.02738612787525833,88
0.23210549354553223,0.007353964143113139,0.000760650634765625,4.01525768228928e-05,log_loss,5,4,10,"{'criterion': 'log_loss', 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.475,0.625,0.55,0.525,0.525,0.54,0.04898979485566357,84
0.2557361125946045,0.01780581316886572,0.00070953369140625,5.6207148419449174e-05,log_loss,10,1,2,"{'criterion': 'log_loss', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.525,0.5,0.65,0.5,0.575,0.55,0.0570087712549569,64
0.3403602600097656,0.0608619174627716,0.0008719444274902343,5.183274743457753e-05,log_loss,10,1,5,"{'criterion': 'log_loss', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.575,0.5,0.6,0.575,0.575,0.5650000000000001,0.03391164991562633,45
0.25918874740600584,0.014276708547456753,0.0007406234741210938,2.5546458965533587e-05,log_loss,10,1,10,"{'criterion': 'log_loss', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.5,0.625,0.6,0.575,0.575,0.575,0.04183300132670378,10
0.2530487060546875,0.011896307720387892,0.0007364273071289063,2.685630523397614e-05,log_loss,10,2,2,"{'criterion': 'log_loss', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.5,0.525,0.6,0.625,0.575,0.5650000000000001,0.04636809247747851,45
